Item,Quantity,TotalCost
Item,Quantity,UnitPrice,TotalCost
Banana,3,5.9,17.700000000000003
Milk,2,8.5,17.0
Milk,2,8.5,17.0
Pasta,1,1.85,1.85
Orange,3,8.69,26.07
Banana,3,5.9,17.700000000000003
Pasta,1,1.85,1.85
Apple,7,1.65,11.549999999999999
Chicken,9,4.89,44.01
Chicken,9,4.89,44.01
Eggs,6,4.62,27.72
Chicken,9,4.89,44.01
Orange,3,8.69,26.07
Rice,2,5.23,10.46
Chicken,9,4.89,44.01
Milk,2,8.5,17.0
Orange,3,8.69,26.07
Grapes,10,8.66,86.6
Grapes,10,8.66,86.6
Bread,1,8.19,8.19
Rice,2,5.23,10.46
Bread,1,8.19,8.19
Banana,3,5.9,17.700000000000003
Orange,3,8.69,26.07
Orange,3,8.69,26.07
Chicken,9,4.89,44.01
Milk,2,8.5,17.0
Banana,3,5.9,17.700000000000003
Banana,3,5.9,17.700000000000003
Banana,3,5.9,17.700000000000003
Grapes,10,8.66,86.6
Milk,2,8.5,17.0
Grapes,10,8.66,86.6
Orange,3,8.69,26.07
Apple,7,1.65,11.549999999999999
Grapes,10,8.66,86.6
Milk,2,8.5,17.0
Bread,1,8.19,8.19
Banana,3,5.9,17.700000000000003
Chicken,9,4.89,44.01
Rice,2,5.23,10.46
Grapes,10,8.66,86.6
Chicken,9,4.89,44.01
Chicken,9,4.89,44.01
Eggs,6,4.62,27.72
Grapes,10,8.66,86.6
Grapes,10,8.66,86.6
Bread,1,8.19,8.19
Orange,3,8.69,26.07
Eggs,6,4.62,27.72
Orange,3,8.69,26.07
Chicken,9,4.89,44.01
Apple,7,1.65,11.549999999999999
Banana,3,5.9,17.700000000000003
Pasta,1,1.85,1.85
Apple,7,1.65,11.549999999999999
Milk,2,8.5,17.0
Chicken,9,4.89,44.01
Apple,7,1.65,11.549999999999999
Apple,7,1.65,11.549999999999999
Orange,3,8.69,26.07
Eggs,6,4.62,27.72
Eggs,6,4.62,27.72
Apple,7,1.65,11.549999999999999
Banana,3,5.9,17.700000000000003
Rice,2,5.23,10.46
Pasta,1,1.85,1.85
Bread,1,8.19,8.19
Chicken,9,4.89,44.01
Grapes,10,8.66,86.6
Bread,1,8.19,8.19
Apple,7,1.65,11.549999999999999
Chicken,9,4.89,44.01
Chicken,9,4.89,44.01
Rice,2,5.23,10.46
Eggs,6,4.62,27.72
Bread,1,8.19,8.19
Grapes,10,8.66,86.6
Milk,2,8.5,17.0
Rice,2,5.23,10.46
Grapes,10,8.66,86.6
Orange,3,8.69,26.07
Orange,3,8.69,26.07
Grapes,10,8.66,86.6
Rice,2,5.23,10.46
Pasta,1,1.85,1.85
Chicken,9,4.89,44.01
Pasta,1,1.85,1.85
Banana,3,5.9,17.700000000000003
Eggs,6,4.62,27.72
Bread,1,8.19,8.19
Banana,3,5.9,17.700000000000003
Apple,7,1.65,11.549999999999999
Pasta,1,1.85,1.85
Banana,3,5.9,17.700000000000003
Eggs,6,4.62,27.72
Bread,1,8.19,8.19
Milk,2,8.5,17.0
Milk,2,8.5,17.0
Banana,3,5.9,17.700000000000003
